  Equal Weight Returns -- Monthly,,,
Dates,Hi 30,Hi 20,Hi 10
198110,4.61,3.96,3.28
198111,2.97,2.72,1.68
198112,-1.52,-1.31,-1.8
198201,-0.18,0.23,0.18
198202,-0.68,-0.19,-0.71
198203,0.78,0.79,0.19
198204,4.72,4.69,5.29
198205,-1.26,-1.21,-0.72
198206,-0.94,-1.34,-0.89
198207,-0.6,-0.32,0.08
198208,5.99,5.63,4.61
198209,4.43,4.48,4.4
198210,11.51,11.63,11.65
198211,10.51,11.05,11.55
198212,2.36,3.04,3.73
198301,7.9,8.44,10.02
198302,7.68,8.2,9.59
198303,6.31,6.89,6.66
198304,7.68,8.13,8.73
198305,8.05,8.47,9.13
198306,3.98,4.53,6.39
198307,1.15,1.07,1.48
198308,-1.27,-0.96,-1.21
198309,1.71,1.26,0.82
198310,-2.56,-2.34,-3.36
198311,3.17,3.02,2.86
198312,0.12,0.12,-0.12
198401,2.97,3.52,4.1
198402,-3.61,-3.87,-4.26
198403,2.42,2.45,2.7
198404,-1.23,-1.23,-1.73
198405,-3.54,-3.37,-2.3
198406,0.94,0.79,0.5
198407,-2.64,-2.13,-2.93
198408,8.22,8.22,7.61
198409,1.96,2.28,2.38
198410,-0.92,-0.78,-0.71
198411,-1.36,-1.25,-1.55
198412,1.14,1.28,1.12
198501,8.69,8.34,8.89
198502,3.49,3.5,4.72
198503,0.73,1.17,1.15
198504,0.41,0.14,0.16
198505,2.31,2.18,2.04
198506,0.95,1.29,1.27
198507,1.65,2.08,3.56
198508,-0.36,-0.25,-0.16
198509,-4.66,-4.68,-4.98
198510,1.67,0.98,-0.38
198511,5.05,5.17,5.54
198512,2.2,1.84,0.95
198601,4.37,4.8,5.77
198602,6.12,5.69,5.34
198603,5.63,6.15,5.91
198604,0.8,0.47,0.3
198605,3.45,3.18,3.89
198606,2.03,1.79,1.42
198607,-6.03,-6.64,-8.17
198608,3.39,3.64,3.47
198609,-3.68,-3.75,-2.88
198610,1.64,1.54,1.17
198611,-0.38,-0.63,-1.05
198612,-2.71,-2.41,-2.23
198701,11.28,11.65,11.85
198702,5.96,6.08,5.68
198703,4.74,5.1,6.18
198704,-0.95,-0.41,0.2
198705,2.23,3.1,5
198706,3.3,3.49,2.96
198707,6.16,6.73,7.88
198708,1.81,1.49,1.38
198709,-0.88,-1.18,-1.34
198710,-25.59,-26.07,-25.56
198711,-4.17,-4.11,-4.96
198712,2.39,2.01,1.45
198801,8,8.07,9.24
198802,6.36,6.14,5.37
198803,3.78,4.3,4.42
198804,2.44,2.73,3.49
198805,0.06,0.22,-0.59
198806,4.62,4.57,4.63
198807,0.06,0.02,-0.07
198808,-1.15,-1.18,-1.67
198809,2.19,2.48,1.7
198810,-0.88,-0.76,-1.15
198811,-3.34,-3.4,-3.63
198812,1.93,1.56,0.66
198901,6.95,7.72,8.98
198902,0.45,0.35,0.26
198903,2.58,2.57,2.74
198904,3.48,3.54,3.83
198905,4.32,4.38,4.47
198906,0.49,0.31,0.42
198907,1.95,1.53,1.56
198908,1.67,1.64,2.21
198909,0.21,-0.26,-0.46
198910,-5.22,-5.45,-6.24
198911,-2.14,-2.72,-3.51
198912,-1.3,-2.02,-2.81
199001,-4.7,-4.33,-4.19
199002,2.36,2.1,0.83
199003,2.16,1.63,0.69
199004,-3.29,-3.54,-3.57
199005,2.93,2.34,1.65
199006,-0.3,-0.33,-0.05
199007,-2.49,-2.41,-2.05
199008,-9.84,-9.89,-9.55
